"","rho1","theta","beta0","beta1","gg"
"46",0.972453333302419,0.166142737155989,0.237814379114175,0.191107985544081,0.0539215934586989
"47",0.531278857186447,0.00198317961296916,0.999836610914589,0.104110339877063,0.996833352349908
"48",0.972427647179747,0.916467400359959,0.236780418643046,0.191195487622431,0.0523499790228614
"49",0.853868078952902,1.62330437684286e-10,0.999999999999692,0.126178783217243,0.0755049011678026
"50",0.973064734982317,0.271681032461722,0.233415538706205,0.191877456100317,0.0551092960838182
"51",0.972350139912179,0.0562222066530276,0.233147355828833,0.191902857921632,0.0537967387923646
"52",0.971834984451383,0.87846337509308,0.233467469138249,0.191827085131037,0.052453684925906
"53",0.956686176509004,0.0802286195384078,0.281141036360198,0.181702329133452,0.0387977716825691
"54",0.517140864850549,0.000571396034978014,0.999908949270574,0.104974055948094,0.999591009850288
"55",0.97129231376678,0.999448788891466,0.232230360905041,0.1919740614309,0.0513328165842783
"56",0.83978345475131,0.918946327209058,0.998329963335102,0.126555912191611,0.0719687919670884
"57",0.970268079472444,0.999717959691406,0.23429262407598,0.191564150655094,0.048787832670878
"58",0.974684215103739,0.271364929967527,0.371400735159805,0.192095995683591,0.0968535345239528
"59",0.969853284278002,0.955043365374295,0.238201564618313,0.190960267690951,0.0475948572513582
"60",0.838927382125672,0.912622377691378,0.999966909092692,0.126215341282382,0.0696220566455905
"61",2.90746195546133e-10,0.976915862128457,0.999999848615625,0.0827315158448998,0.999999974524445
"62",0.840087869717428,0.00148157193777401,0.999645226892992,0.126211823253469,0.0691125452823388
"63",0.966166287154562,0.0304706041945699,0.275026043819644,0.176944315824277,7.80400643033009e-06
"64",0.967012085516686,0.85536288749127,0.280788785210701,0.188373995726679,0.0484567991769457
"65",0.975409724310864,0.000444735266494603,0.0695389634440488,0.20148577065254,0.0379787631945015
"66",0.826044889140121,0.0772500088606633,0.999493105220084,0.126675763572453,0.0684492365550516
"67",0.969164520104565,0.999918077571444,0.17824256117473,0.195209663667443,0.0473048881682137
"68",0.963290622760511,0.932487840845251,0.256223873423486,0.180824525450374,0.000111321166940713
"69",0.965646494747191,0.846929134764467,0.237135038625646,0.19116785392979,0.0401508790971335
"70",0.966064932598909,0.960163104766835,0.24120948914023,0.191080171827639,0.0429533245348662
