"","rho1","theta","beta0","beta1","gg"
"31",0.944720767093754,0.227654715297362,0.133860011079662,0.0647974487376754,0.0574366669520926
"32",0.944414236357851,0.935530287333382,0.133452201890125,0.0626436640243682,0.0589750592438557
"33",0.949175976204074,0.911335771855305,0.149236560978984,0.0655596726694772,0.0575060307052922
"34",0.942333834524436,0.0148865734536874,0.158596800844477,0.0634733177958992,0.0516962181719339
"35",0.945307940913948,0.984672807960703,0.150652542819601,0.0630027895303982,0.0539531507750558
"36",0.943276512790154,0.930801854200226,0.158892467359798,0.0637228544421788,0.0517194816352257
"37",0.942104271841101,0.00544742688700509,0.162113838343582,0.064474428579146,0.0506223788157733
"38",0.949019816344944,0.962333126076539,0.120630665171847,0.0678995964990345,0.0466845962996335
"39",0.935114086620537,0.854861566437865,0.154726916810994,0.0656759896518361,0.0525534644062194
"40",0.934867310646422,0.961632823951667,0.15374349789053,0.0640994191937983,0.0510400511477778
"41",0.50075398460387,0.830931355509014,0.457269013515127,0.0275987736511803,0.979351444626956
"42",0.892027106900026,0.998538747346043,0.454432152745053,0.0537799512035739,0.0843767085686904
"43",0.931741575495975,0.997769773505644,0.152904453231195,0.0649288696765811,0.0520260848216901
"44",0.934463540733183,0.871443058487228,0.153660720817539,0.0640389055032223,0.0513613093706642
"45",0.954776375706987,0.241667205417128,0.00974452754179856,0.0700048978603974,0.0416775400968556
"46",0.498019714285581,0.999186635683841,0.453579707453327,0.0288867138650102,0.983080055669304
"47",0.874491728882895,0.950109351960145,0.310723329792521,0.0510282845449307,0.0590243016738377
"48",0.500242089698826,0.994032390841243,0.454583944549942,0.0289268836040044,0.954804629258019
"49",0.730766366396802,0.999892833092766,0.134593853185613,0.041464801130457,0.0447462987224864
"50",0.933130584198623,0.999975999325048,0.146837464722198,0.061407780003811,0.0505070025857771
"51",0.932102218571255,0.992089661718817,0.148132546260503,0.0622818978028836,0.0498328306419134
"52",0.932954435940949,0.0629742358435249,0.144514417935083,0.0614704456186651,0.0509248753960546
"53",0.933622751948087,0.999541578760899,0.136252122391604,0.0605646802917965,0.0530634201040144
"54",0.934081164471777,0.998894744889514,0.134585203850536,0.059163147747224,0.0553476393222596
"55",0.95162204298004,0.999485824804407,0.000806941246739164,0.0638549463433307,0.0475853210584008
"56",0.930383037781654,0.981114010512141,0.138569042701895,0.0582920323899641,0.0548006423901443
"57",0.929584048896203,0.815173610282159,0.13669123888582,0.0597105332336157,0.0529103581941614
"58",0.930079193393388,0.968834891242563,0.139079662290004,0.0610231597245129,0.0513658915672482
"59",0.930166245934007,0.989295741725086,0.13748964268271,0.0598387431873364,0.0533330311713055
"60",0.920007006596428,0.999999432357397,0.129021856094555,0.0568329592038003,0.0593168026788636
"61",0.93068932283182,0.991032760856533,0.129514887028558,0.0569612131040172,0.0560424315961198
"62",0.943818749873041,0.999792178212574,0.0204545370632366,0.0629951126578296,0.0470399326036652
"63",0.489553759978543,0.995327271946615,0.421469439035823,0.0254366253924203,0.991910751004401
"64",0.932510554736576,0.988827048140949,0.133304303928385,0.0588741663442495,0.0547912361028539
"65",0.93236421603406,0.999999999867579,0.140090631458301,0.0602588179869934,0.053062761196734
"66",0.930940723660034,0.0412031004361384,0.138172079323183,0.0612621751615084,0.0514811320351247
"67",0.492953223633323,0.0137600809219257,0.430623670459267,0.027838458431111,0.981535798648803
"68",0.92932524144363,0.999684976013182,0.138781721181853,0.0632297583909247,0.0505472763213584
"69",0.888804526285366,0.999999936560763,0.218387163758278,0.0563827979386208,0.0679440510198331
"70",0.931127625903137,0.026191095691025,0.134534527396933,0.0613594627980024,0.051482270089801
